Data,ABEV3,ASAI3,EMBJ3,MGLU3,VALE3
2022-06-15,10.289418976,14.913250313,11.473615682,23.428827723,57.662609948
2022-06-16,,,,,
2022-06-17,10.265783251,14.942151961,11.473615682,21.866905874,54.654862692
2022-06-20,10.281540401,15.317873383,11.216004276,23.70446099,53.306318735
2022-06-21,10.376083302,14.845813135,11.562788861,23.061316699,53.659340713
2022-06-22,10.478504777,14.441190064,11.741135218,22.418172409,53.200412141
2022-06-23,10.502140502,14.72057266,12.048287279,23.428827723,51.25879126
2022-06-24,10.770012053,14.421922299,12.385163732,22.693805676,52.685000053
2022-06-27,10.809404928,14.161807468,12.137460458,22.326294653,55.106730824
2022-06-28,10.651833427,14.084736407,11.978930362,21.866905874,56.095192364
2022-06-29,10.722740602,13.853523223,11.701502694,22.142539142,55.629203352
2022-06-30,10.557290527,13.747550515,11.334901848,21.499394851,54.054725329
2022-07-01,10.840919228,14.065468641,11.731227087,20.21310627,53.023901152
2022-07-04,10.777890628,13.872790989,11.562788861,19.56996198,52.720302251
2022-07-05,11.100912203,14.17144135,11.443891289,21.866905874,52.459065987
2022-07-06,11.211212254,14.35448512,11.384442503,22.969438944,52.953296756
2022-07-07,11.211212254,14.576064421,11.572696992,23.520705478,54.492472582
2022-07-08,11.274240854,14.72057266,11.364626241,24.071972013,53.235714339
2022-07-11,11.108790778,14.788009839,10.770138382,24.163849769,51.42118137
2022-07-12,10.864554953,14.68203713,11.146647359,26.920182442,51.576511041
2022-07-13,11.479083804,14.778375956,11.087198573,26.001404884,51.400000051
2022-07-14,11.69180533,14.759108191,11.097106704,26.73642693,47.975686861
2022-07-15,11.494840954,15.009589139,11.05747418,25.542016105,48.272225323
2022-07-18,11.416055204,14.874714782,11.196188014,25.45013835,48.526401147
2022-07-19,11.408176629,14.922884196,12.05819541,25.633893861,48.632307741
2022-07-20,11.266362279,14.826545369,12.038379148,28.206471023,47.580302245
2022-07-21,11.471205229,14.845813135,11.869940921,27.655204488,48.413434114
2022-07-22,11.431812354,15.077026318,11.76095148,26.277038152,48.865302247
2022-07-25,11.56574813,14.932518078,11.681686432,25.633893861,49.769038511
2022-07-26,11.67604818,14.951785843,11.493431944,23.980094257,49.677252797
2022-07-27,11.80210538,15.761031984,11.820400266,24.806994059,49.79021983
2022-07-28,11.89664828,15.59725598,11.691594563,24.990749571,49.910247303
2022-07-29,11.762712505,15.26970397,11.642053908,23.70446099,49.246565983
2022-08-01,11.526355255,15.057758552,11.919481576,24.990749571,48.067472575
2022-08-02,11.589383855,15.096294083,12.008654755,24.898871815,49.599587962
2022-08-03,11.526355255,15.953709637,12.474336911,26.920182442,47.67208796
2022-08-04,11.56574813,16.213824469,13.157997949,30.687170429,47.396730817
2022-08-05,11.502719529,16.406502121,13.237262997,29.033370825,48.010989059
2022-08-08,11.66029103,16.685884718,13.603863844,30.044026138,48.420494554
2022-08-09,11.61301958,16.618447539,13.554323189,28.298348779,49.423076972
2022-08-10,11.943919731,16.897830135,14.059637869,30.22778165,49.45837917
2022-08-11,11.920284006,16.994168962,14.16862731,27.930837755,51.181126425
2022-08-12,11.983312606,17.340988737,14.555044418,32.892236567,51.836175696
2022-08-15,12.148762681,17.533666389,14.812655824,37.118613333,50.722217766
2022-08-16,12.211791281,17.42769368,15.040542837,38.129268646,51.947571489
2022-08-17,12.251184156,17.273551558,14.961277789,36.934857821,50.670233062
2022-08-18,12.605720032,17.456595328,15.139624147,37.026735577,50.291487366
2022-08-19,12.337848482,17.129043319,14.446054978,34.729791683,49.727082014
2022-08-22,12.148762681,17.360256502,13.772302071,35.097302706,48.999296166
2022-08-23,12.164519831,17.20611438,13.881291511,38.129268646,52.14065753
2022-08-24,12.448148532,17.148311084,14.198351703,41.344990099,50.462294248
2022-08-25,12.463905682,17.292819323,14.594676942,42.998789703,51.442577227
2022-08-26,12.345727057,17.292819323,14.386606192,42.080012145,50.670233062
2022-08-29,12.298455607,17.687808511,14.247892358,41.52874561,49.689950083
2022-08-30,12.125126956,17.630005215,14.138902917,41.436867854,48.24923116
2022-08-31,12.030584056,17.716710159,13.693037023,39.231801716,47.900191008
2022-09-01,12.156641256,18.082797699,13.3660687,40.150579274,47.44718145
2022-09-02,12.196034131,18.208038173,13.227354866,39.13992396,46.726821988
2022-09-05,12.251184156,18.737901718,13.019284116,39.691190495,48.434890815
2022-09-06,12.259062731,18.757169483,12.930110937,36.75110231,47.283800954
2022-09-07,,,,,
2022-09-08,12.211791281,18.400715826,13.375976831,39.415557227,47.907617395
2022-09-09,12.385119932,18.15986876,13.494874403,40.242457029,51.650516041
2022-09-12,12.377241357,17.822682868,13.484966272,43.91756726,52.096099213
2022-09-13,12.282698456,17.485496976,13.009375985,43.182545214,50.685085835
2022-09-14,12.117248381,17.707076277,13.019284116,41.069356831,49.756787559
2022-09-15,12.054219781,17.620371333,13.484966272,39.874946006,50.759349697
2022-09-16,12.030584056,17.24464991,13.128273556,40.977479075,50.685085835
2022-09-19,12.188155556,17.466229211,13.356160569,41.896256633,52.326317185
2022-09-20,12.416634232,17.601103568,13.861475249,40.977479075,51.576252179
2022-09-21,12.251184156,17.630005215,13.554323189,43.641933993,50.833613559
2022-09-22,12.345727057,17.360256502,13.554323189,42.263767656,51.999556192
2022-09-23,12.109369806,17.138677201,12.543693828,42.539400924,50.922730193
2022-09-26,12.030584056,17.090507788,12.355439339,39.874946006,50.499426179
2022-09-27,12.164519831,17.129043319,12.474336911,38.404901914,50.276634593
2022-09-28,12.385119932,17.292819323,12.722040186,39.78306825,50.75192331
2022-09-29,12.298455607,17.292819323,11.840216528,37.210491089,50.818760786
2022-09-30,12.243305581,16.907464018,11.542972599,41.161234587,53.499686205
2022-10-03,12.842077283,17.75524569,12.038379148,45.111978085,54.955257901
2022-10-04,12.794805833,17.418059798,12.523877566,46.765777689,56.284581032
2022-10-05,12.700262933,17.456595328,12.494153173,47.041410957,57.153468217
2022-10-06,12.629355757,17.446961445,12.741856448,49.338354851,56.106347763
2022-10-07,12.148762681,17.495130859,12.246449899,48.787088316,56.076642218
2022-10-10,11.975434031,18.102065464,12.424796256,48.878966072,54.947831515
2022-10-11,11.809983955,18.323644765,12.068103541,47.500799735,54.576512205
2022-10-12,,,,,
2022-10-13,11.825741105,18.757169483,11.483523813,45.203855841,53.603655612
